UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
33,04557,3304557,3304557005081,12732.99999141693,99.51127808017191,97.08682830387261,99.17782531992998,78.42714971920941,87.89648951205891,96.85810823284555,11.50105816777796,8.071311580715701,53.79502111609327,31.71178559132386,4.234099239693023,54.22716192697408,80.95476916059852
33,04557,3304557,3304557005082,8133.000013947487,100.0000003215973,94.78777700132923,100.0000003215973,95.10241545067402,96.56967946357327,100.0000003215973,3.478841263859067,6.959504570113495,69.43343108796398,47.82442475843709,10.32214024889981,55.74517738787108,84.4588837120682
33,04557,3304557,3304557005083,13440.00007724762,99.63019251590595,97.78184125898406,99.12413810379803,97.37353675300255,98.25278662610799,98.96326547022909,4.438924544956535,5.46620637178421,71.47717086190823,55.87053019844461,19.54571946989745,62.93654692417476,89.92921859025955
33,04557,3304557,3304557005084,15046.00000762939,100.0000002037268,99.37337096198462,98.79227055935189,93.32204605452716,94.22259241109714,99.08969113021158,7.35197767498903,8.067929232493043,60.00117409857921,40.09081421245355,9.803380927769467,51.16565750649897,85.38733767345548
33,04557,3304557,3304557005085,8619.000018954277,98.96174458554015,98.96174458554015,98.63240117556415,96.89034635084681,98.56640477082692,98.8093922031112,6.770182136096992,10.73687163880095,68.46311084227636,50.23844751995057,14.99586705976981,59.99199230063823,82.04070430947468
33,04557,3304557,3304557005086,7873.999990463257,99.99999997962732,98.72179081721697,99.99999997962732,89.32018255291041,90.85564168344717,99.43905651161913,5.680088367080316,6.408760184422135,69.23485854349565,53.31491939723492,13.20164152421057,66.76374822272919,87.06247969530523
33,04557,3304557,3304557005087,16846.99994397163,99.75154760759324,98.33777176681906,99.75154760759324,96.44642957136966,97.07670115167275,99.59756577154621,5.515576904872432,7.67901059880387,72.7004323300207,54.96075318660587,20.78779455041513,63.4405974231413,91.40508133568801
33,04557,3304557,3304557005088,12015.00002241135,99.74900933593744,97.01138785021612,99.54242524836445,95.35538585187169,95.35538585187169,100.0000038664439,8.74776539276354,7.694456398166949,64.40117404890771,40.55465828241722,10.36907130546751,64.89663820284477,85.36267556482926
33,04557,3304557,3304557005089,14271.00006008148,100.0000004220055,99.64642436534632,99.86434021557216,98.07626285764854,98.51401726191398,99.87134036200587,4.967126180417836,8.046704833395779,77.01388434506953,60.19967568863649,23.42340469767805,64.0950142085785,92.99053815193474
33,04557,3304557,3304557005090,12332.99994039536,99.76431989998673,94.82681034496636,92.5651051402383,92.08404788005282,92.08404788005282,99.33953710788046,5.89635515716509,6.534256245504366,75.22966636461206,55.27255768465693,23.59572980494704,56.25617510886514,80.77287311316468
33,04557,3304557,3304557005091,9227.000002384186,99.99999978681444,99.78902374496101,99.99999978681444,99.99999978681444,99.99999978681444,99.35825608772575,.634333211928606,7.12507727148477,85.68009909649845,73.67984758748207,38.23541062301956,60.48835036708624,100.0000011175871
33,04557,3304557,3304557005092,9604.999989271164,99.9999999308784,99.28012976961327,99.9999999308784,99.76563879827154,99.76563879827154,99.9999999308784,.3813123796135187,3.861679940018803,89.81710493389983,80.71332146355417,46.58871979627293,55.40173132176278,92.75636114180088
33,04557,3304557,3304557005093,8826.999989509583,99.99999968567863,99.99999968567863,99.99999968567863,99.99999968567863,99.99999968567863,99.99999968567863,.255492702126503,5.373135220725089,84.97854855086189,75.30025529267732,41.08940018631984,63.03284176101442,96.98337726294994
33,04557,3304557,3304557005094,15215.00000953674,100.0000016589183,99.54253548639826,100.0000016589183,99.640336696757,99.87478089169599,97.98693761695176,1.146712520858273,5.086588766425848,82.42286272579804,68.11686902365182,30.63332378515042,57.49807791726198,83.2478319760412
33,04557,3304557,3304557005095,16002.00002288818,99.99999993960955,99.09196137814433,97.51281938297325,92.41801558891893,95.15444157077582,99.56516854945221,4.629107748769457,6.073243977152742,75.52559857722372,58.57150866359007,21.51784194866195,60.03382249946299,86.00075817666948
